c,trun,f,value,scenario
ksa,2020,diesel,284.5456687080019,D
ksa,2020,NG,1389.56515539041,D
ksa,2020,Arablight,1169.987967991587,D
ksa,2021,HFO,1151.3337172319011,D
ksa,2021,diesel,257.94191325600343,D
ksa,2021,NG,1443.4575728126704,D
ksa,2021,Arablight,1040.147244109277,D
ksa,2022,HFO,1013.4578335332983,D
ksa,2022,diesel,231.3381578043729,D
ksa,2022,NG,1533.2597768371174,D
ksa,2022,Arablight,1180.0566368121783,D
ksa,2023,HFO,972.8841286024733,D
ksa,2023,diesel,204.69980437196733,D
ksa,2023,NG,1623.3042032369701,D
ksa,2023,Arablight,1359.573525202131,D
ksa,2024,HFO,953.703365476889,D
ksa,2024,diesel,178.10056169999956,D
ksa,2024,NG,1720.4377010463875,D
ksa,2024,Arablight,1630.1169932041003,D
ksa,2025,HFO,953.7033654768911,D
ksa,2025,diesel,151.50131902799657,D
ksa,2025,NG,1810.4521772025118,D
ksa,2025,Arablight,1769.819821415144,D
ksa,2026,HFO,953.7033654768769,D
ksa,2026,diesel,124.90207635600058,D
ksa,2026,NG,1900.466653358376,D
ksa,2026,Arablight,1841.1628700748176,D
ksa,2027,HFO,981.2833654768865,D
ksa,2027,diesel,98.3028336840041,D
ksa,2027,NG,1990.4811295143875,D
ksa,2027,Arablight,1941.8437350552301,D
ksa,2028,HFO,1008.86336547689,D
ksa,2028,diesel,71.70359101199777,D
ksa,2028,NG,2080.4956056703545,D
ksa,2028,Arablight,1969.465552932823,D
ksa,2029,HFO,1014.8281126850255,D
ksa,2029,diesel,45.10434833999965,D
ksa,2029,NG,2194.723681826353,D
ksa,2029,Arablight,1885.933287454539,D
ksa,2030,HFO,1040.6068416175851,D
ksa,2030,diesel,18.058340447950876,D
ksa,2030,NG,2376.7704341383537,D
ksa,2030,Arablight,1564.793786666232,D
uae,2015,NG,1137.5190043479602,D
uae,2016,NG,1183.7434571153142,D
uae,2017,NG,1245.5594567236342,D
uae,2018,NG,1301.6718033038892,D
uae,2019,NG,1275.027076247858,D
uae,2020,NG,1304.1937862916807,D
uae,2021,NG,1115.3874762404175,D
uae,2022,NG,1108.969093919375,D
uae,2022,Coal,86.89273482915513,D
uae,2023,NG,1133.1769936974943,D
uae,2023,Coal,91.89950027717275,D
uae,2024,NG,1110.426067091742,D
uae,2024,Coal,170.35829005169236,D
uae,2025,NG,1300.853319977596,D
uae,2025,Coal,50.89493535005281,D
uae,2026,NG,1343.7324254370058,D
uae,2026,Coal,57.009418425619494,D
uae,2027,NG,1392.3699762725305,D
uae,2027,Coal,59.714032610237666,D
uae,2028,NG,1430.0251456236365,D
uae,2028,Coal,66.94666793042299,D
uae,2029,NG,1466.204998949785,D
uae,2029,Coal,52.706194089653266,D
uae,2030,NG,1499.072234033763,D
uae,2030,Coal,37.36668737505529,D
qat,2015,NG,351.1149814105679,D
qat,2016,NG,376.7647288962918,D
qat,2017,NG,383.9953291320822,D
qat,2018,NG,411.1187483676706,D
qat,2019,NG,410.7585586198594,D
qat,2020,NG,448.07840949357137,D
qat,2021,NG,467.55743390415927,D
qat,2022,NG,477.8902896448659,D
qat,2023,NG,500.70325899349587,D
qat,2024,NG,510.2795387327891,D
qat,2025,NG,524.7451684883212,D
